window,elite_share,start,txns,nodes,edges,volume,gini_out,gini_in,top1_out,top1_in,top1_in_v16,hhi_out,hhi_in,gini_betweenness,betweenness_zero_frac,is_outlier,top_k_retention,retention_contaminated
1,0.6316285014472888,2026-03-26,51766,17070,25414,39211202.70903087,0.9716482402073394,0.9776797338956111,0.738802400303304,0.7854712651310243,0.8185446902126846,164.23455753312655,183.12337346218757,0.874658551070319,0.7958,False,,True
2,0.8567021323574594,2026-04-02,45761,15325,22518,81528675.96245392,0.988486264848187,0.9906819498199335,0.9001918538731681,0.9141600893691678,0.9267095011799568,1147.1814309078845,1083.9760618472792,0.8765179080419534,0.7146,False,0.46,False
3,0.767179369511018,2026-04-09,49690,15446,23141,62596072.23758131,0.9828483957419574,0.9843021361315193,0.8409168269901308,0.8477021830109651,0.8735011301682661,713.4717910350189,683.2400319864283,0.8865509738219491,0.7289,False,0.56,False
4,0.7004921530417811,2026-04-16,47148,14471,21200,61541213.72787062,0.9775041737989443,0.9777900628893244,0.7914112853623394,0.7780684038418428,0.8161214700214984,264.57438029166826,219.68023355498417,0.8677593968057835,0.8041,False,0.48,False
5,0.6864128236776036,2026-04-23,34519,13256,18890,46544212.04892416,0.9759430240142826,0.97799717124909,0.7768072127999506,0.7817540522173194,0.8200129087947414,233.43940689014326,213.52081139599662,0.8645326880688167,0.7994,False,0.68,False
6,0.729061540595819,2026-04-30,45961,16204,22569,56332721.57090373,0.9784930549186215,0.9809880201984883,0.8149797715095551,0.8211964265843449,0.854794026522171,315.6145132300947,344.2231670000805,0.8591247260304227,0.822,False,0.66,False
7,0.6627285716879845,2026-05-07,610227,550233,576808,58233608.5346172,0.9809785336486297,0.9995292706244625,0.8212900851829237,0.9992342180635455,0.9992431718063364,222.31657896830222,209.28260249543496,,0.9922,True,0.48,True
8,0.6825429838265586,2026-05-14,51282,16055,22950,59493961.1427196,0.9785056184509789,0.9816223060738287,0.8103098017809626,0.8354217579383993,0.8627785289772931,211.07371114465064,206.39922033965627,0.8702132881216883,0.7705,False,0.52,True
9,0.638701007043885,2026-05-21,55517,15720,23499,43686442.99484949,0.9749571849791059,0.9778686372602663,0.7587234599419074,0.7793527662618142,0.8204309872945896,163.82169986877201,155.3139393108463,0.8699421096799383,0.8135,False,0.56,False
10,0.6185845275442523,2026-05-28,63931,18181,27089,65823850.683932774,0.9737453372338144,0.978491944008577,0.7612197697609847,0.793300642190988,0.8272188457533428,189.90747088019495,171.3523083845477,0.8770705459560628,0.801,False,0.52,False
11,0.6014428536625942,2026-06-04,71545,21178,31193,66299863.187054045,0.9753201169792058,0.9788896411875367,0.7703477939452744,0.8028590590981232,0.8319449806500018,158.2715124518995,150.0567168440359,0.8889533306093877,0.7988,False,0.6,False
12,0.7690161720356982,2026-06-11,52723,16799,24639,64456550.832822755,0.9836688862015067,0.9851759411289416,0.8573088774701925,0.8699631866329118,0.891250486463686,662.0565472942906,652.6745639522438,0.8851381222734062,0.7384,False,0.56,False
13,0.8536443959160505,2026-06-18,53424,19438,28211,95879218.90309894,0.9889124403070557,0.9903703099807794,0.9063482004997895,0.9236133405453267,0.9365691671809109,1030.048541679156,1164.0074394410772,0.9011778474337068,0.8029,False,0.52,False
