window,elite_share,start,txns,nodes,edges,volume,gini_out,gini_in,top1_out,top1_in,top1_in_v16,hhi_out,hhi_in,gini_betweenness,betweenness_zero_frac,is_outlier,top_k_retention,retention_contaminated
1,0.6829831454104438,2026-03-26,24901,4832,7656,31668792.071641643,0.9582736049048173,0.9594667667869687,0.5819344444878454,0.6183691573483007,0.6700840073400767,173.09561289448786,178.4028272768339,0.8233774059564006,0.7419,False,,True
2,0.745095156856032,2026-04-02,33038,5021,9015,64926887.43411625,0.9627818448699922,0.9648367090932056,0.6675165233300242,0.6695180140707198,0.7111086324056528,338.90221683833937,287.27497029855425,0.8337618263199879,0.7102,False,0.6,False
3,0.820175515964103,2026-04-09,27295,4992,8261,54378443.06682525,0.9739431962736977,0.9774873040770158,0.760791962448452,0.7835742345334273,0.8114293039257547,593.4729755338936,606.6309057258153,0.8466174558045026,0.7274,False,0.66,False
4,0.7451820077429798,2026-04-16,26190,4205,6974,48932895.94696234,0.9647962841368737,0.9669471007905341,0.6532106712875018,0.663877972246346,0.7179291028990696,284.23517537800046,303.88603590777853,0.814501242880836,0.7282,False,0.56,False
5,0.7553570436356014,2026-04-23,16587,4039,6095,33702601.91286174,0.9666188381882806,0.9673447209744462,0.6541652060700014,0.664027778211462,0.7151973475919408,402.2487371743632,312.6333302937217,0.8073884996811582,0.7472,False,0.62,False
6,0.7083938860389716,2026-04-30,19666,4300,6732,35634749.09967574,0.9573803322810541,0.9607341990916087,0.6144498304149262,0.6400383978065864,0.6857722313313283,257.1755358749938,276.89953418420475,0.8171954051405486,0.7426,False,0.5,False
7,0.7763995554902247,2026-05-07,41069,5187,9186,66261887.89527517,0.9696999959924417,0.9723338345332563,0.7377254599680788,0.7600749827307351,0.7901315799867851,413.0460347300303,449.07674253000084,0.8356925109416566,0.727,False,0.6,False
8,0.8157584323450388,2026-05-14,27531,4207,6874,45360110.73057321,0.9702960719900997,0.9713956182251366,0.7391254009094266,0.7322730290800059,0.7797539198350613,407.5645824399265,382.89047470675746,0.8231602043557484,0.7362,False,0.74,False
9,0.8045177680284218,2026-05-21,32156,5617,9095,68361586.39422648,0.9738296916440099,0.970003495408987,0.7569613262024827,0.7286546421682925,0.7842835585087037,521.1752634577864,440.0713314597199,0.8336583751829537,0.7664,False,0.78,False
10,0.7730921182281225,2026-05-28,28028,5004,8153,89347641.98311035,0.9688604544902197,0.970927943858702,0.6850553381487767,0.7259074620122612,0.7666884665399939,298.1972677640316,438.5048203187156,0.8470370466179421,0.7164,False,0.62,False
11,0.7616621907468273,2026-06-04,34721,5280,8746,61864731.753826246,0.9686353422130385,0.9663310921175876,0.7081262729109344,0.6903102666915715,0.7417660772140642,249.69049582908812,194.56075378676744,0.8377579973758212,0.7491,False,0.5,False
12,0.851503264340499,2026-06-11,73226,6182,11914,163108759.85546705,0.98083993548972,0.9799128180557142,0.8399059598143873,0.8365944993566555,0.8618584888467573,552.8732989350558,556.2994145733447,0.8537803687466767,0.7507,False,0.66,False
13,0.8232845164191033,2026-06-18,47950,5358,9420,94814375.14408195,0.9756519440748184,0.9790377407359039,0.7881218686363686,0.8072127240274886,0.8255771562111301,523.9314105935193,590.5892044805362,0.8557527914105567,0.7301,False,0.72,False
