rank,address,ensemble_score,seed_frequency,score_sd_across_seeds,in_vote_consensus,high_confidence,balance,counterparties,betweenness,cluster
1,0x50d3865a63d52c0a54e4679949647ea752107390,0.9968,1.0,0.0052,True,True,1e-18,70,0.00044,6
2,0x603206d6105217dd972e4ab30676a220ca393346,0.9947,0.9,0.0076,True,True,1e-18,48,4.8e-05,5
3,0x09ad820aac5779683b481c4674208a4e1b024afa,0.9934,0.7,0.0109,True,False,0.0,56,0.000244,5
4,0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,0.9926,0.7,0.0106,True,False,1.68e-16,38,4.8e-05,5
5,0x225a38bc71102999dd13478bfabd7c4d53f2dc17,0.9926,0.7,0.016,True,False,1e-18,177,0.00667,6
6,0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,0.9925,0.6,0.0111,True,False,0.0,44,0.000208,5
7,0xebe0fa42523f69ea1e97f5b08282654c19c2c0ee,0.9918,0.6,0.013,True,False,0.0,29,2.2e-05,5
8,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0.9917,0.7,0.048,True,False,0.0,313,0.021024,6
9,0x0e16d4d4281c65f37da7481c57d5d4953d64c74d,0.9916,0.8,0.0141,True,False,1e-18,71,0.001461,6
10,0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,0.9916,0.6,0.0147,True,False,1e-18,48,0.000119,5
11,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,0.9912,0.6,0.0178,True,False,1e-18,68,0.001317,5
12,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0.991,0.7,0.0131,True,False,0.0,127,0.003144,6
13,0x818acad67efa6a1b3936bd682b5a6bc9dcd864f8,0.9903,0.7,0.0187,True,False,0.0,7,0.0,5
14,0x111111125421ca6dc452d289314280a0f8842a65,0.9902,0.6,0.0284,True,False,0.0,239,0.011736,6
15,0x6a000f20005980200259b80c5102003040001068,0.9893,0.5,0.0165,True,False,1e-18,120,0.002866,6
16,0x0000000000efa780a8e6f50fc5de9c1497bfd175,0.9885,0.6,0.0351,True,False,1.0000000000885e-05,23,4e-06,5
17,0x8f10b468b06c6fd214b65f87778827f7d113f996,0.9883,0.5,0.0218,True,False,1e-18,132,0.006473,6
18,0x365084b05fa7d5028346bd21d842ed0601bab5b8,0.9881,0.3,0.0143,False,False,2.615004060728e-06,62,0.000249,5
19,0x420cafeaa7a2e44a404340397ac45b2f55fc8f73,0.9878,0.3,0.0142,False,False,0.0,42,0.000484,5
20,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.9875,0.5,0.0173,True,False,0.0,105,0.004003,6
21,0x88cc0800464fcef3e643a369e8a0532990995eee,0.987,0.5,0.0411,True,False,0.0,28,0.000151,5
22,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,0.9867,0.4,0.0469,False,False,1e-18,230,0.010719,6
23,0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,0.9865,0.5,0.038,True,False,0.0,56,0.000416,5
24,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.9858,0.6,0.039,True,False,0.0,404,0.039596,6
25,0x28b1dc1a5e3699a428bc51d234dfab7c9cb2a183,0.9857,0.5,0.0419,True,False,0.0,91,0.001567,5
26,0xb9e9e795fd530314663f779f7f57950c6bc1eb4b,0.9853,0.4,0.0274,False,False,0.0,25,9.8e-05,5
27,0x75cf59a923a2649b84fa569bb97ea9694b6f26e4,0.9848,0.4,0.0244,False,False,0.0,26,0.000101,5
28,0x2c242c8da2c5b25191bb6d2d88b8703446d28fc6,0.9848,0.3,0.0184,False,False,0.0,33,1e-06,5
29,0x595c31c6108babc43caa81ab759a4aae91801a82,0.9845,0.3,0.0508,False,False,1e-18,43,0.000285,5
30,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,0.9841,0.4,0.0385,False,False,1e-18,89,0.00567,6
