rank,address,ensemble_score,seed_frequency,score_sd_across_seeds,in_vote_consensus,high_confidence,balance,counterparties,betweenness,cluster
1,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0.9963,0.9,0.0116,True,True,0.0,300,0.025006,4
2,0x225a38bc71102999dd13478bfabd7c4d53f2dc17,0.9963,0.9,0.0119,True,True,0.0,209,0.009319,4
3,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.9962,1.0,0.015,True,True,0.0,245,0.014856,4
4,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.9953,0.8,0.0186,True,False,0.0,255,0.025885,4
5,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0.9947,0.9,0.0102,True,True,0.0,183,0.015627,4
6,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,0.9927,0.9,0.0356,True,True,0.0,135,0.004572,4
7,0x8f10b468b06c6fd214b65f87778827f7d113f996,0.9914,0.6,0.0239,True,False,0.0,108,0.006397,4
8,0x7f51c134230eb9e5aba42bc364d3d3eba26d9712,0.9912,0.6,0.0243,True,False,0.0,101,0.005935,4
9,0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,0.9894,0.5,0.0304,True,False,0.0,58,0.000123,6
10,0xce937da1ffd21673aa1e063459873f30189a2193,0.9891,0.5,0.0389,True,False,0.0,99,0.004259,4
11,0x603206d6105217dd972e4ab30676a220ca393346,0.9878,0.3,0.0337,False,False,0.0,45,5.1e-05,6
12,0xebe0fa42523f69ea1e97f5b08282654c19c2c0ee,0.9873,0.6,0.051,True,False,0.0,47,0.000158,6
13,0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,0.9873,0.4,0.0396,False,False,0.0,44,0.000113,6
14,0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,0.9865,0.5,0.0459,True,False,0.0,102,0.001466,6
15,0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,0.9858,0.4,0.0478,False,False,0.0,81,0.002995,4
16,0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,0.985,0.3,0.0343,False,False,0.0,45,9.8e-05,6
17,0x06cff7088619c7178f5e14f0b119458d08d2f5ef,0.9844,0.2,0.0337,False,False,0.0,44,0.000266,6
18,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.9837,0.6,0.0823,True,False,0.0,141,0.007713,4
