address,in_tokens,seed_frequency,counterparties,betweenness,status,n_tokens,identity,reason,dropped_by_threshold
0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,LINK+UNI,0.9,230.0,0.010719,TODO_VERIFY,2.0,,,
0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,LINK+UNI,0.5,102.0,0.001466,TODO_VERIFY,2.0,,,
0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,LINK,0.7,127.0,0.003144,TODO_VERIFY,1.0,,,
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,LINK,0.4,89.0,0.00567,TODO_VERIFY,1.0,,,
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,UNI,0.4,81.0,0.002995,TODO_VERIFY,1.0,,,
0x0e16d4d4281c65f37da7481c57d5d4953d64c74d,LINK,0.8,71.0,0.001461,TODO_VERIFY,1.0,,,
0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,LINK,0.6,68.0,0.001317,TODO_VERIFY,1.0,,,
0x365084b05fa7d5028346bd21d842ed0601bab5b8,LINK,0.3,62.0,0.000249,TODO_VERIFY,1.0,,,
0x09ad820aac5779683b481c4674208a4e1b024afa,LINK,0.7,56.0,0.000244,TODO_VERIFY,1.0,,,
0x595c31c6108babc43caa81ab759a4aae91801a82,LINK,0.3,43.0,0.000285,TODO_VERIFY,1.0,,,
0x420cafeaa7a2e44a404340397ac45b2f55fc8f73,LINK,0.3,42.0,0.000484,TODO_VERIFY,1.0,,,
0x2c242c8da2c5b25191bb6d2d88b8703446d28fc6,LINK,0.3,33.0,1e-06,TODO_VERIFY,1.0,,,
0x88cc0800464fcef3e643a369e8a0532990995eee,LINK,0.5,28.0,0.000151,TODO_VERIFY,1.0,,,
0x818acad67efa6a1b3936bd682b5a6bc9dcd864f8,LINK,0.7,7.0,0.0,TODO_VERIFY,1.0,,,
0x08baf37cfeaff1e8e2a8695ed9b7dc3cf96beb9d,,,,,DROPPED,,Unlabelled contract,LINK:未进 top1%(分位0.982) | UNI:未进 top1%(分位0.979),False
0x399740157391a9f1bf4e9921a8834f9bc8f2678e,,,,,DROPPED,,Unlabelled routing contract,LINK:未进 top1%(分位0.982) | UNI:未进 top1%(分位0.974),False
0x49e55995ef73717895a638074de5af89fa1e301c,,,,,DROPPED,,MEV Bot,LINK:未进 top1%(分位0.983) | UNI:未进 top1%(分位0.962),False
0x51e040bbf50cd966d2b8dab275f648a331c2ef49,,,,,DROPPED,,Binance Deposit,LINK:未进 top1%(分位0.949) | UNI:未进 top1%(分位0.922),False
0xa8195d26a8db123de6eeb9accb3cfd940f31bcdd,,,,,DROPPED,,Fake_Phishing (flagged),LINK:未进 top1%(分位0.958) | UNI:未进 top1%(分位0.944),False
0xd78d199f8c402e7b5cc2abe278df0412400a3bae,,,,,DROPPED,,Mayan: Swift v2 Destination,LINK:未进 top1%(分位0.960) | UNI:未进 top1%(分位0.917),False
