window,start,elite_share,top50_retention,is_w7
1,2026-03-26,0.6784264702107887,,False
2,2026-04-02,0.8835668349038106,0.44,False
3,2026-04-09,0.7972549216430901,0.44,False
4,2026-04-16,0.7222434476302206,0.52,False
5,2026-04-23,0.7297735670155844,0.64,False
6,2026-04-30,0.7767055102520377,0.54,False
7,2026-05-07,0.6964375841953232,0.46,True
8,2026-05-14,0.7549947111730418,0.5,False
9,2026-05-21,0.65852904515522,0.48,False
10,2026-05-28,0.6895848580373153,0.54,False
11,2026-06-04,0.6743375343484986,0.58,False
12,2026-06-11,0.7560898544881915,0.62,False
13,2026-06-18,0.8558574886754131,0.48,False
