window,start,txns,nodes,edges,gini_flow,top1pct_share,gini_betweenness,is_outlier
1,2026-03-26,51766,17070,25414,0.9682181756659565,0.7568426496753472,0.8793443231707421,False
2,2026-04-02,45761,15325,22518,0.9906629714980002,0.930596825965936,0.8747683189828421,False
3,2026-04-09,49690,15446,23141,0.9794685124253042,0.8451173161554594,0.8845942779202907,False
4,2026-04-16,47148,14471,21200,0.9713048262921546,0.7795647199477173,0.862690949387948,False
5,2026-04-23,34519,13256,18890,0.9750031467083093,0.8109885254196709,0.8621189453217488,False
6,2026-04-30,45961,16204,22569,0.9764030201512188,0.8331893128141631,0.8619560192771845,False
7,2026-05-07,610228,550234,576809,0.9993063265702831,0.9984325131328454,0.0,True
8,2026-05-14,51282,16055,22950,0.9748359647990579,0.8248197405791962,0.8625713019549719,False
9,2026-05-21,55518,15721,23500,0.967888796835221,0.7640183785778403,0.8685239489393624,False
10,2026-05-28,63931,18181,27089,0.9678571443885793,0.7586873089123946,0.8779834446454944,False
11,2026-06-04,71545,21178,31193,0.9670763157783484,0.7624550659730609,0.8869730648904981,False
12,2026-06-11,52723,16799,24639,0.9829280196567542,0.8839303836902496,0.8829950868357828,False
13,2026-06-18,53425,19440,28212,0.9887906583864225,0.9304403576090945,0.8965719307650826,False
