window,start,txns,nodes,edges,gini_flow,top1pct_share,gini_betweenness,top500_flow_share,is_outlier
1,2026-03-26,25024,4833,7664,0.9528086633277677,0.6213643650764532,0.8232205158950958,0.965644172466914,False
2,2026-04-02,33145,5022,9023,0.9637765366069599,0.7435529764729384,0.8334556308473737,0.9677427111931977,False
3,2026-04-09,27407,4993,8270,0.981489216695929,0.8597607143674304,0.8465974653908066,0.9858011134223836,False
4,2026-04-16,26336,4206,6983,0.9692827234313581,0.7597537578314011,0.8173205279218212,0.9854943849233638,False
5,2026-04-23,16698,4041,6104,0.9643602098845778,0.7386834825541915,0.824863504297545,0.9842996256887153,False
6,2026-04-30,19764,4303,6743,0.947955067515827,0.6153645242342924,0.8267890954118966,0.9710757129849467,False
7,2026-05-07,41159,5187,9194,0.9357614565658439,0.5585554982148069,0.8378858528841877,0.9370096930093468,False
8,2026-05-14,27610,4208,6881,0.9487087270854297,0.6286867172612083,0.8146513866621019,0.9705962275801593,False
9,2026-05-21,32244,5618,9103,0.9587601421269576,0.721598612701248,0.8368062187951246,0.9700771864937343,False
10,2026-05-28,28095,5004,8161,0.9750869026498974,0.8262803910457389,0.8355599327405228,0.9787533899668972,False
11,2026-06-04,34888,5281,8756,0.9536537519933657,0.6765090337950371,0.8374763823219067,0.9561891142325813,False
12,2026-06-11,73508,6182,11922,0.9740939894399501,0.8294755189867857,0.8545785480635741,0.9686216156615103,False
13,2026-06-18,47978,5359,9423,0.9728295438468295,0.7933564181049182,0.858529540223099,0.9741595736832742,False
