address,core_score,balance,counterparties,betweenness,cluster
0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0.9714,0.0,300,0.025641,3
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.978,0.0,244,0.021884,3
0x225a38bc71102999dd13478bfabd7c4d53f2dc17,1.0,0.0,209,0.01132,3
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0.9918,0.0,183,0.011595,3
0x111111125421ca6dc452d289314280a0f8842a65,0.9912,0.0,154,0.01432,3
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0.9807,0.0,141,0.006168,3
0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,0.9792,0.0,135,0.006378,3
0x8f10b468b06c6fd214b65f87778827f7d113f996,0.9682,0.0,108,0.00512,3
0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,0.9902,0.0,102,0.001479,3
0x7f51c134230eb9e5aba42bc364d3d3eba26d9712,0.9731,0.0,101,0.001899,3
0xce937da1ffd21673aa1e063459873f30189a2193,0.9645,0.0,99,0.003232,3
0xd78d199f8c402e7b5cc2abe278df0412400a3bae,0.9907,0.0,60,0.001765,3
0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,0.9686,0.0,58,0.001874,3
0xebe0fa42523f69ea1e97f5b08282654c19c2c0ee,0.9722,0.0,47,0.000148,2
0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,0.9771,0.0,45,0.0001,2
0x603206d6105217dd972e4ab30676a220ca393346,0.9749,0.0,45,6e-05,3
0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,0.9714,0.0,44,7.7e-05,2
0x06cff7088619c7178f5e14f0b119458d08d2f5ef,0.9742,0.0,44,0.000294,2
0x399740157391a9f1bf4e9921a8834f9bc8f2678e,0.9686,0.0,40,0.00106,3
0x08baf37cfeaff1e8e2a8695ed9b7dc3cf96beb9d,0.9708,0.0,32,0.000101,2
0x75cf59a923a2649b84fa569bb97ea9694b6f26e4,0.9652,0.0,31,0.000592,2
0xb9e9e795fd530314663f779f7f57950c6bc1eb4b,0.9618,0.0,29,0.000652,2
0x49e55995ef73717895a638074de5af89fa1e301c,0.9631,0.0,24,7.6e-05,2
0x2428cf573f77233447c23e7cc31ff2a3fcbaed76,0.9661,0.0,7,3e-06,2
0x7b7ac1f636d5a21c921ff710f9ed0ba1000b3b0c,0.97,0.0,1,0.0,5
0x7b7a043dd1f857ac0c065c90b57b4a377bdb7b0c,0.97,0.0,1,0.0,5
0x9478f8fcd3ba75c909a9c27c390b77d5513b15d1,0.9835,0.0,1,0.0,5
0x947895975ffeee29378116ebaf05fd2b62b115d1,0.9835,0.0,1,0.0,5
0xbf68c6840fecaa73ee02d9bea9b4a77d6dbcab24,0.9648,0.0,1,0.0,5
