token,group,address,counterparties,betweenness,score_pct
LINK,broker_anchor,0x818acad67efa6a1b3936bd682b5a6bc9dcd864f8,7,0.0,0.9903
LINK,broker_anchor,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,105,0.004003,0.9875
LINK,broker_anchor,0x8f10b468b06c6fd214b65f87778827f7d113f996,132,0.006473,0.9883
LINK,broker_anchor,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,313,0.021024,0.9917
LINK,broker_anchor,0x420cafeaa7a2e44a404340397ac45b2f55fc8f73,42,0.000484,0.9878
LINK,broker_anchor,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,127,0.003144,0.991
LINK,broker_anchor,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,230,0.010719,0.9867
LINK,broker_anchor,0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,48,0.000119,0.9916
LINK,matched,0x9f7e7d375f7d39036f5e17ed38014d57f41bbfb6,48,0.001662,0.7513
LINK,matched,0x1fe35d32f2f649f25e2de25ce0b18f25a964b5e8,290,0.009685,0.7929
LINK,matched,0x74de5d4fcbf63e00296fd95d33236b9794016631,277,0.093494,0.9682
LINK,matched,0x399740157391a9f1bf4e9921a8834f9bc8f2678e,70,0.001517,0.9818
LINK,matched,0xf18d5a4d447ad91d7f40e4edcfb6b5505ca125cc,56,0.000526,0.5671
LINK,matched,0x5b4a24501dcc7cf8cff580dbce4a2a50b7865ff1,28,0.002247,0.9252
LINK,matched,0x3d90f66b534dd8482b181e24655a9e8265316be9,57,0.001167,0.9688
LINK,matched,0x78cd4d99634b81eaaf46b0ab2d2a19b7fb192665,101,0.003831,0.7169
LINK,matched,0x5e1f62dac767b0491e3ce72469c217365d5b48cc,86,0.001656,0.9795
LINK,matched,0xbb1532f8209cb561a2fa064616c29448ed18ea4c,23,0.000405,0.9476
LINK,matched,0x08baf37cfeaff1e8e2a8695ed9b7dc3cf96beb9d,29,0.000123,0.9821
LINK,matched,0x9ba0cf1588e1dfa905ec948f7fe5104dd40eda31,33,0.000305,0.9804
LINK,matched,0xe98e350bc3c353a98a5e1ef8da7486f9174696dd,42,5.8e-05,0.967
LINK,matched,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,181,0.011003,0.9835
LINK,matched,0xd78d199f8c402e7b5cc2abe278df0412400a3bae,70,0.000358,0.9603
LINK,matched,0xc785055673615ac1b8ff5f2eea7c43d091c505e6,167,0.007746,0.764
LINK,matched,0xfc7a91712b1280f42b59cf3108018315ad221fe9,26,0.000722,0.9817
LINK,matched,0x017272088ba6d435ec780c1066a397afb001f4ea,7,1e-06,0.8707
LINK,matched,0x00c600b30fb0400701010f4b080409018b9006e0,44,0.000791,0.968
LINK,matched,0x163f3103de041d25464e2c8a4f8f3187ec1856e0,50,3.4e-05,0.9053
LINK,uniform,0xf8b49a1701aad0adab6f104a6f992282444f1d26,5,1.5e-05,0.6414
LINK,uniform,0x1cfc12c31601c6d0a246b39a3f0fd7b4b1a1b109,13,0.000317,0.669
LINK,uniform,0x545bf25f9a11668665653511f69f0c57202d1ae1,13,6.1e-05,0.6563
LINK,uniform,0x3b435ffd6173d90d807dfe1e7cd8fc9607e9d5b9,5,0.000293,0.617
LINK,uniform,0x7b74afcad6b239dffb45a525a262437d97d90b47,7,6e-06,0.7615
LINK,uniform,0x5063e2474f6846d31480e1f4b7697ab98522d242,8,0.000293,0.7125
LINK,uniform,0x4b47d7291664beb43e03588e2698e10ba2cd21b3,17,0.000102,0.9534
LINK,uniform,0xc14a9ef7fcce6bbef3542af92093dfcd95b2cd6e,12,0.00079,0.6363
LINK,uniform,0x148b3ac92f87689d3c432f9c6804857ce8696224,8,0.000153,0.6274
LINK,uniform,0x79dd3d08d0af8a8699ea01ef363482576038decb,22,0.000382,0.4914
